타임스탬프,성별,대학교,전공,학년,통학시간,공강유무,평균공강시간,뭐하는지,어디가는지,얼마나가는지,누구와가는지,충분한지,뭘하고싶은지
8-31-2024 0:17:43,F,명지대,정보통신공학과,3,1시간 이상 - 2시간 미만,O,1~3시간,"과제/공부, 식사","도서관, 라운지",3~5회,혼자,충분하다.,없어요
8-31-2024 0:18:24,F,세종대,물리천문학과,4,10분 미만,X,0,0,0,0,0,충분하지 않다.,수다
8-31-2024 0:20:54,M,상명대,글로벌경영,4,30분 이상 - 1시간 미만,O,1~3시간,"잠, 식사","카페, 차 안에서 휴식",1~2회,혼자,충분하지 않다.,잠
8-31-2024 0:21:12,F,성신여대,의류산업학과,졸업,1시간 이상 - 2시간 미만,O,1~3시간,"잠, 식사","과방/과실, 라운지",1~2회,혼자,충분하다.,잠
8-31-2024 0:23:34,F,국민대,사회학,졸업,1시간 이상 - 2시간 미만,X,0,0,0,0,0,충분하지 않다.,잠
8-31-2024 0:25:53,F,덕성여대,컴퓨터공학전공,4,30분 이상 - 1시간 미만,O,1~3시간,"과제/공부, 식사",도서관,1~2회,혼자,충분하지 않다.,잠
8-31-2024 0:28:50,M,아주대,기계공학과,3,10분 미만,O,1~3시간,"잠, 집 , 동방","동아리방, 집",3~5회,혼자,충분하다.,잠
8-31-2024 0:30:00,F,경복대,간호학과,졸업,1시간 이상 - 2시간 미만,O,1~3시간,"과제/공부, 식사","도서관, 라운지",3~5회,친구,충분하지 않다.,잠
8-31-2024 0:30:51,F,경희대,경영,졸업,1시간 이상 - 2시간 미만,O,1~3시간,"잠, 식사",동아리방,3~5회,친구,충분하다.,수다
8-31-2024 0:46:41,F,인하대,경영학,졸업,10분 미만,O,1~3시간,잠,"카페, 과방/과실",3~5회,친구,충분하지 않다.,잠
8-31-2024 0:52:57,M,중앙대,전자,3,10분 미만,X,0,0,0,0,0,충분하다.,과제
8-31-2024 0:55:29,M,세종대,전자공학,졸업,1시간 이상 - 2시간 미만,O,1~3시간,"과제/공부, 대화","카페, 라운지",3~5회,친구,충분하다.,수다
8-31-2024 0:58:30,F,홍익대,"디자인컨버전스, 시각디자인",졸업,2시간 이상,O,1~3시간,"과제/공부, 식사","카페, 라운지",1~2회,혼자,충분하지 않다.,잠
8-31-2024 1:35:03,F,상명대,글경,3,1시간 이상 - 2시간 미만,O,1~3시간,"과제/공부, 식사","카페, 라운지",3~5회,혼자,충분하지 않다.,잠
8-31-2024 1:40:50,M,신한대,기계공학과,졸업,10분 이상 - 30분 미만,O,1~3시간,"과제/공부, 대화","동아리방, 과방/과실",3~5회,친구,충분하지 않다.,잠
8-31-2024 1:46:23,F,삼육대,상담심리학과,졸업,1시간 이상 - 2시간 미만,O,1~3시간,식사,"도서관, 라운지",1~2회,혼자,충분하지 않다.,식사
